datetime,Open Price,Close Price,Volume
2023-01-01T00:00:00.000Z,16541.77000000,23125.13000000,7977028.87801000
2023-02-01T00:00:00.000Z,23125.13000000,23141.57000000,8642691.27165000
2023-03-01T00:00:00.000Z,23141.57000000,28465.36000000,9516189.35846000
2023-04-01T01:00:00.000+01:00,28465.36000000,29233.21000000,1626745.55850000
2023-05-01T01:00:00.000+01:00,29233.20000000,27210.35000000,1302000.49221000
2023-06-01T01:00:00.000+01:00,27210.36000000,30472.00000000,1387207.48275000
2023-07-01T01:00:00.000+01:00,30471.99000000,29232.25000000,925773.81731000
2023-08-01T01:00:00.000+01:00,29232.26000000,25940.78000000,1025866.55023000
2023-09-01T01:00:00.000+01:00,25940.77000000,26962.56000000,809329.04893000
2023-10-01T01:00:00.000+01:00,26962.57000000,34639.77000000,1141403.67990000
2023-11-01T00:00:00.000Z,34639.78000000,37723.96000000,1055690.59638000
2023-12-01T00:00:00.000Z,37723.97000000,42283.58000000,1195409.97600000
